Year,School.Name,Medical,Competition.Guarantees,Recruiting,Game.Expenses.and.Travel,Other.Expenses,Facilities.and.Equipment,Coaches.Compensation,Athletic.Student.Aid,Corporate.Sponsorship..Advertising..Licensing,Donor.Contributions,NCAA.Conference.Distributions..Media.Rights..and.Post.Season.Football,Ticket.Sales,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,NCAA Subdivision,quantiles,Total.Points
2015,Oklahoma State University,791174.9766,1282834.392,1064162.028,8376583.976,24221831.46,19737966.53,16068524.21,9440724.739,3791249.877,21894490.92,32096958.96,21392602.06,20805,7778,20978,Football Bowl Subdivision,2,44
2015,University of Georgia,2720644.5739999996,2567943.119,2403302.924,10052713.29,9771665.82,21966914.22,18880182.7,11470226.6,13190103.96,34316383.0,35443076.08,26407135.41,27335,11622,29832,Football Bowl Subdivision,3,71
2015,Florida State University,1708845.9230000002,1696189.2380000001,1762965.176,18336744.18,22875620.48,19086418.11,20163484.92,9279546.677000001,19340415.58,25584164.29,26861534.61,26499161.93,32229,6507,21673,Football Bowl Subdivision,3,66
2015,University of Arkansas,1399448.244,3391006.381,1761890.791,12160060.0,14605738.87,19324668.39,18343511.49,9337826.769,12162068.02,24701622.0,36302543.9,38096812.06,21815,8522,21826,Football Bowl Subdivision,3,63
2015,University of Colorado Boulder,785145.8620000001,454721.2151,916881.1059999999,7194636.499,7395601.25,15576890.11,13071821.32,9973741.41,4379560.436000001,10392735.51,25136640.75,11697846.44,26496,11091,34125,Football Bowl Subdivision,2,36
2015,University of Hawaii at Manoa,642257.6671,3095002.5710000005,559221.1437,5511162.677999999,4928212.908,7694761.382999999,6777959.261,9681494.405,4360381.492,4650546.558,5820708.199,6296501.95,13320,11164,31216,Football Bowl Subdivision,2,27
2015,University of Iowa,698105.4555,2368015.287,1630214.2780000002,10210079.87,14546655.78,32783905.39,18857696.55,11802742.3,9469585.303,25665669.74,34088430.01,26978278.08,21970,8104,27890,Football Bowl Subdivision,1,13
2015,University of Nebraska-Lincoln,875216.015,2542263.182,2258046.22,11945836.06,8944252.361,22261586.44,17198223.75,9882654.591,16032781.91,19902939.88,17201339.57,37080299.69,20182,8367,22534,Football Bowl Subdivision,3,85
2015,Texas A & M University,1034034.682,3698018.337,1515303.646,10692251.07,24320917.94,23309679.27,20046949.04,8111867.97,15059665.18,93224286.29,32398071.42,46403289.61,48707,10176,28768,Football Bowl Subdivision,2,37
2015,University of Wisconsin-Madison,2882713.738,2470934.522,1013492.757,13670243.86,11765134.76,31162505.93,18359143.24,12147869.12,6297427.481000001,23104220.53,41529824.79,28892861.21,29579,10415,29665,Football Bowl Subdivision,1,15
2015,University of North Carolina at Chapel Hill,2357906.3430000003,1911475.414,1480038.2869999998,8719880.995,10467958.69,19084521.48,14606526.69,13784077.07,2606203.796,20711522.73,30978978.43,20888797.33,17951,8591,33673,Football Bowl Subdivision,3,188
2015,Portland State University,423085.0712,62353.845089999995,191083.6453,2021355.371,1251651.9,1407335.509,2932330.901,4756272.765,257362.3894,552905.4587,544211.1392,227660.3418,19648,8034,24009,Football Championship Subdivision,1,3
2015,University of Utah,1030061.178,1842196.289,1153584.107,7010882.167,8524351.966,6922477.767000001,13517617.34,8777323.652999999,3806607.209,8079149.34,24616732.39,13265729.15,22761,8197,26022,Football Bowl Subdivision,1,10
2015,University of California-Santa Barbara,98575.1134,67209.338,340851.5521,1995986.3059999999,1045717.2309999999,3306348.66,3972953.662,4258274.374,360809.1976,1475964.534,499718.8248,276879.5469,20606,13968,38676,No Football Subdivision,2,24
2015,North Carolina State University at Raleigh,867004.7132,1918194.12,1752375.24,8520926.287,6516369.2,14534831.46,16060251.14,10346576.43,2265899.056,14111940.81,32011948.85,19186450.38,22458,8581,24932,Football Bowl Subdivision,1,17
2015,University of Illinois at Urbana-Champaign,760053.2417,3050137.6139999996,1887686.03,7882767.688999999,14354640.52,21009107.23,11681274.98,11338919.7,5236400.511,19450102.13,36505690.83,14370819.09,32170,15054,30214,Football Bowl Subdivision,1,20
2015,Towson University,446618.2632,92654.34863,497934.5957,2134631.641,3256174.558,4096012.813,4588254.483,6096566.017000001,354449.9701,1799407.195,1484438.1030000001,358167.2829,18623,9182,20788,Football Championship Subdivision,1,15
2015,University of Vermont,150448.3846,88520.8508,339797.4191,1883043.187,914571.3293,2971820.893,3616486.561,7048123.14,787134.6395,770326.2293,662739.8476,1486732.6909999999,10081,16768,39160,No Football Subdivision,1,4
2015,West Virginia University,687781.8371,1070723.779,1439347.333,12257436.18,13178383.95,20087397.98,15345757.51,9580872.795,11105316.31,26213889.83,22211530.81,18769925.03,21580,7632,21432,Football Bowl Subdivision,2,32
2015,University of Missouri-Columbia,1012727.22,2618307.5930000003,1268477.525,10085726.6,11158293.33,16807717.57,18331646.67,9498725.349,2513750.958,19502867.51,37335751.27,23723878.64,27393,9509,25166,Football Bowl Subdivision,1,8
2015,University of Washington,1328776.772,2140016.732,1382450.4740000002,12760633.34,13410749.92,27039268.94,16834831.37,11816481.47,12862039.72,23065186.21,30249544.66,25064420.99,30022,11839,34143,Football Bowl Subdivision,2,59
2015,Murray State University,127986.5402,197573.5002,211308.6214,1148350.909,1326548.005,3614209.188,2700206.9489999996,4226871.132,664979.7538,1156592.5890000002,826524.3827,1114750.29,7891,7608,20712,Football Championship Subdivision,1,10
2015,The University of Tennessee,1035722.713,3016359.788,2144215.037,10164053.44,13525984.58,33323647.86,18389285.78,12515915.48,15109393.73,33782303.08,34514190.42,35112296.01,21661,12436,30856,Football Bowl Subdivision,2,23
2015,University of California-Irvine,151161.2662,34118.06523,155065.9128,1858182.455,1112797.967,2290223.101,4225484.8610000005,3446101.796,311182.9209,956537.1672,645478.7981,307501.0497,25245,13252,37960,No Football Subdivision,1,8
2015,University of New Mexico,511530.9885,486013.0695,691866.7294,5396417.102999999,6734868.407000001,6687773.67,8097513.128,7848116.987000001,5756398.993,11003762.08,5411141.55,6743700.442000001,19886,7071,21302,Football Bowl Subdivision,2,25
2015,"Rutgers, The State University of New Jersey-New Brunswick",2586146.914,1646255.126,1281653.682,9559252.435,10463339.14,13248366.84,11645680.52,11456798.31,6470824.778,10010744.42,11404433.92,14020226.17,35102,14131,29521,Football Bowl Subdivision,2,24
2015,Montana State University,461702.1886,228142.34699999998,401343.1967,2364328.353,2063020.4619999998,3003138.063,3498523.905,4870465.452,92266.51677,2939966.0239999997,1959518.9719999998,2691373.901,13488,6849,22081,Football Championship Subdivision,1,8
2015,University of Oregon,1488814.629,2180771.481,1533182.392,7579663.417,8871096.942,34213865.77,17270356.42,11109198.68,10420988.51,27378613.72,26477829.16,26174994.24,20220,10289,32024,Football Bowl Subdivision,3,122
2015,University of Connecticut,715354.3536,1501283.98,1110972.22,13014950.79,5962760.9860000005,4346490.428,17124243.05,13140563.76,13305032.82,6827904.511,12410169.02,10050510.85,18451,13366,34908,Football Bowl Subdivision,3,69
2015,University of Arizona,1038602.5920000001,1325514.124,1419935.487,9653550.259,8781696.129,16616061.79,17286922.82,12698373.67,8372408.961,22211345.51,27490549.29,15998705.36,32964,11403,32630,Football Bowl Subdivision,2,43
2015,Oregon State University,626761.6071,1149499.215,1627588.5659999999,5525183.357000001,15131113.33,16620836.28,13084868.88,9634496.879,5487117.102999999,9940883.038999999,27972314.43,11117329.99,23656,10107,28767,Football Bowl Subdivision,2,36
2015,North Carolina A & T State University,45628.46939,43036.17286,202923.1497,1663479.721,581665.7736,1614194.696,2815722.1119999997,3205271.372,174595.2218,441913.65,534967.9819,1027279.522,9036,5972,18732,Football Championship Subdivision,1,4
2015,Sam Houston State University,394727.7775,259266.1072,196881.8836,1839441.9740000002,1581710.993,1629576.33,3128728.7539999997,4252031.598,523738.0723,657219.0661,976222.4190000001,543862.7994,17401,7618,16978,Football Championship Subdivision,2,29
2015,Arkansas State University,175543.0302,625857.3411,434791.9229,2823165.8510000003,10963146.06,2180207.454,4113448.0330000003,5503420.217999999,1421967.8069999998,6361232.404,1801206.6130000001,1330515.4340000001,8909,8050,14050,Football Bowl Subdivision,1,10
2015,Arizona State University,1869621.976,1571787.358,1189077.305,9493456.708999999,10777194.35,15103201.59,17999821.58,11487660.81,10408814.84,14957169.22,25617165.44,11181355.66,41222,10158,25458,Football Bowl Subdivision,1,8
2015,University of Mississippi,888729.3733,2022456.084,1207590.96,8233947.922,8706782.809,23518074.59,15938061.82,8104761.432,3176972.81,22296096.39,34893276.32,19579813.15,18472,7444,20674,Football Bowl Subdivision,1,6
2015,Coastal Carolina University,167973.7268,79801.21587,476290.9449,2084225.65,773838.9936,6962123.7020000005,4629074.04,7365998.437999999,813769.4737,1174842.9640000002,1160177.249,632633.7663,9289,10530,24320,Football Championship Subdivision,2,60
2015,Jacksonville State University,119257.7918,69939.35029,254400.4881,1708146.205,1363763.6619999998,652980.2562,2884511.131,4680443.028,0.0,740082.4322,938520.7063,644140.12,6625,7500,14700,Football Championship Subdivision,2,36
2015,University of Kansas,804718.7134,1718959.93,1671901.6469999999,10507578.3,9346156.547,16241963.03,13969870.81,12092437.52,5907990.621,26097702.29,31671042.62,20245383.26,18784,10825,26659,Football Bowl Subdivision,2,54
2015,University of North Dakota,983689.4482,312258.3189,535948.194,4476035.384,3131441.5519999997,3643133.547,4431689.899,4325911.036,928333.7911,3743576.936,2230234.727,4352266.388,10809,7965,18899,Football Championship Subdivision,1,21
2015,Illinois State University,590629.449,532075.9511,543074.9842,2315988.098,2551507.352,4172566.57,4671816.554,6342517.239,1548335.175,1593083.6809999999,1592240.1719999998,1674916.2040000001,18343,13666,21482,Football Championship Subdivision,1,18
